Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,T
W21X62,62.0,18.3,21,8.24,0.4,0.615,1.12,1330.0,144.0,127.0,8.54,57.5,21.7,14.0,1.77,1.83,5960,18.375
W21X55,55.0,16.2,20.8,8.22,0.375,0.522,1.02,1140.0,126.0,110.0,8.4,48.4,18.4,11.8,1.73,1.24,4980,18.375
W21X48,48.0,14.1,20.6,8.14,0.35,0.43,0.93,959.0,107.0,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950,18.375
W21X57,57.0,16.7,21.1,6.56,0.405,0.65,1.15,1170.0,129.0,111.0,8.36,30.6,14.8,9.35,1.35,1.77,3190,18.375
W21X50,50.0,14.7,20.8,6.53,0.38,0.535,1.04,984.0,110.0,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570,18.375
W21X44,44.0,13.0,20.7,6.5,0.35,0.45,0.95,843.0,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110,18.375
W18X311,311.0,91.6,22.3,12,1.52,2.74,3.24,6970.0,754.0,624.0,8.72,795.0,207.0,132.0,2.95,176,76200,15.125
W18X283,283.0,83.3,21.9,11.9,1.4,2.5,3,6170.0,676.0,565.0,8.61,704.0,185.0,118.0,2.91,134,65900,15.125
W18X258,258.0,76.0,21.5,11.8,1.28,2.3,2.7,5510.0,611.0,514.0,8.53,628.0,166.0,107.0,2.88,103,57600,15.125
W18X234,234.0,68.6,21.1,11.7,1.16,2.11,2.51,4900.0,549.0,466.0,8.44,558.0,149.0,95.8,2.85,78.7,50100,15.125
W18X211,211.0,62.3,20.7,11.6,1.06,1.91,2.31,4330.0,490.0,419.0,8.35,493.0,132.0,85.3,2.82,58.6,43400,15.125
W18X192,192.0,56.2,20.4,11.5,0.96,1.75,2.15,3870.0,442.0,380.0,8.28,440.0,119.0,76.8,2.79,44.7,38000,15.125
W18X175,175.0,51.4,20,11.4,0.89,1.59,1.99,3450.0,398.0,344.0,8.2,391.0,106.0,68.8,2.76,33.8,33300,15.125
W18X158,158.0,46.3,19.7,11.3,0.81,1.44,1.84,3060.0,356.0,310.0,8.12,347.0,94.8,61.4,2.74,25.2,29000,15.125
W18X143,143.0,42.0,19.5,11.2,0.73,1.32,1.72,2750.0,322.0,282.0,8.09,311.0,85.4,55.5,2.72,19.2,25700,15.125
W18X130,130.0,38.3,19.3,11.2,0.67,1.2,1.6,2460.0,290.0,256.0,8.03,278.0,76.7,49.9,2.7,14.5,22700,15.125
W18X119,119.0,35.1,19,11.3,0.655,1.06,1.46,2190.0,262.0,231.0,7.9,253.0,69.1,44.9,2.69,10.6,20300,15.125
W18X106,106.0,31.1,18.7,11.2,0.59,0.94,1.34,1910.0,230.0,204.0,7.84,220.0,60.5,39.4,2.66,7.48,17400,15.125
W18X97,97.0,28.5,18.6,11.1,0.535,0.87,1.27,1750.0,211.0,188.0,7.82,201.0,55.3,36.1,2.65,5.86,15800,15.125
W18X86,86.0,25.3,18.4,11.1,0.48,0.77,1.17,1530.0,186.0,166.0,7.77,175.0,48.4,31.6,2.63,4.1,13600,15.125
W18X76,76.0,22.3,18.2,11,0.425,0.68,1.08,1330.0,163.0,146.0,7.73,152.0,42.2,27.6,2.61,2.83,11700,15.125
W18X71,71.0,20.9,18.5,7.64,0.495,0.81,1.21,1170.0,146.0,127.0,7.5,60.3,24.7,15.8,1.7,3.49,4700,15.5
W18X65,65.0,19.1,18.4,7.59,0.45,0.75,1.15,1070.0,133.0,117.0,7.49,54.8,22.5,14.4,1.69,2.73,4240,15.5
W18X60,60.0,17.6,18.2,7.56,0.415,0.695,1.1,984.0,123.0,108.0,7.47,50.1,20.6,13.3,1.68,2.17,3850,15.5
W18X55,55.0,16.2,18.1,7.53,0.39,0.63,1.03,890.0,112.0,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,15.5
W18X50,50.0,14.7,18,7.5,0.355,0.57,0.972,800.0,101.0,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,15.5
W18X46,46.0,13.5,18.1,6.06,0.36,0.605,1.01,712.0,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,15.5
W18X40,40.0,11.8,17.9,6.02,0.315,0.525,0.927,612.0,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.81,1440,15.5
W18X35,35.0,10.3,17.7,6,0.3,0.425,0.827,510.0,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,15.5
W16X100,100.0,29.4,17,10.4,0.585,0.985,1.39,1490.0,198.0,175.0,7.1,186.0,54.9,35.7,2.51,7.73,11900,13.25
W16X89,89.0,26.2,16.8,10.4,0.525,0.875,1.28,1300.0,175.0,155.0,7.05,163.0,48.1,31.4,2.49,5.45,10200,13.25
W16X77,77.0,22.6,16.5,10.3,0.455,0.76,1.16,1110.0,150.0,134.0,7.0,138.0,41.1,26.9,2.47,3.57,8590,13.25
W16X67,67.0,19.6,16.3,10.2,0.395,0.665,1.07,954.0,130.0,117.0,6.96,119.0,35.5,23.2,2.46,2.39,7300,13.25
W16X57,57.0,16.8,16.4,7.12,0.43,0.715,1.12,758.0,105.0,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660,13.625
W16X50,50.0,14.7,16.3,7.07,0.38,0.63,1.03,659.0,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270,13.625
W16X45,45.0,13.3,16.1,7.04,0.345,0.565,0.967,586.0,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,13.625
W16X40,40.0,11.8,16,7,0.305,0.505,0.907,518.0,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,13.625
W16X36,36.0,10.6,15.9,6.99,0.295,0.43,0.832,448.0,64.0,56.5,6.51,24.5,10.8,7.0,1.52,0.545,1460,13.625
W16X31,31.0,9.13,15.9,5.53,0.275,0.44,0.842,375.0,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,13.625
W16X26,26.0,7.68,15.7,5.5,0.25,0.345,0.747,301.0,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,565,13.625
W14X873,873.0,257.0,23.6,18.8,3.94,5.51,6.1,18100.0,2030.0,1530.0,8.39,6170.0,1020.0,656.0,4.9,2270,505000,11.25
W14X808,808.0,238.0,22.8,18.6,3.74,5.12,5.71,15900.0,1830.0,1390.0,8.17,5550.0,930.0,597.0,4.83,1840,434000,11.25
W14X730,730.0,215.0,22.4,17.9,3.07,4.91,5.51,14300.0,1660.0,1280.0,8.17,4720.0,816.0,527.0,4.69,1450,362000,10
W14X665,665.0,196.0,21.6,17.7,2.83,4.52,5.12,12400.0,1480.0,1150.0,7.98,4170.0,730.0,472.0,4.62,1120,305000,10
W14X605,605.0,178.0,20.9,17.4,2.6,4.16,4.76,10800.0,1320.0,1040.0,7.8,3680.0,652.0,423.0,4.55,869,258000,10
W14X550,550.0,162.0,20.2,17.2,2.38,3.82,4.42,9430.0,1180.0,931.0,7.63,3250.0,583.0,378.0,4.49,669,219000,10
W14X500,500.0,147.0,19.6,17,2.19,3.5,4.1,8210.0,1050.0,838.0,7.48,2880.0,522.0,339.0,4.43,514,187000,10
W14X455,455.0,134.0,19,16.8,2.02,3.21,3.81,7190.0,936.0,756.0,7.33,2560.0,468.0,304.0,4.38,395,160000,10
W14X426,426.0,125.0,18.7,16.7,1.88,3.04,3.63,6600.0,869.0,706.0,7.26,2360.0,434.0,283.0,4.34,331,144000,10
W14X398,398.0,117.0,18.3,16.6,1.77,2.85,3.44,6000.0,801.0,656.0,7.16,2170.0,402.0,262.0,4.31,273,129000,10
W14X370,370.0,109.0,17.9,16.5,1.66,2.66,3.26,5440.0,736.0,607.0,7.07,1990.0,370.0,241.0,4.27,222,116000,10
W14X342,342.0,101.0,17.5,16.4,1.54,2.47,3.07,4900.0,672.0,558.0,6.98,1810.0,338.0,221.0,4.24,178,103000,10
W14X311,311.0,91.4,17.1,16.2,1.41,2.26,2.86,4330.0,603.0,506.0,6.88,1610.0,304.0,199.0,4.2,136,89100,10
W14X283,283.0,83.3,16.7,16.1,1.29,2.07,2.67,3840.0,542.0,459.0,6.79,1440.0,274.0,179.0,4.17,104,77700,10
W14X257,257.0,75.6,16.4,16,1.18,1.89,2.49,3400.0,487.0,415.0,6.71,1290.0,246.0,161.0,4.13,79.1,67800,10
W14X233,233.0,68.5,16,15.9,1.07,1.72,2.32,3010.0,436.0,375.0,6.63,1150.0,221.0,145.0,4.1,59.5,59000,10
W14X211,211.0,62.0,15.7,15.8,0.98,1.56,2.16,2660.0,390.0,338.0,6.55,1030.0,198.0,130.0,4.07,44.6,51500,10
W14X193,193.0,56.8,15.5,15.7,0.89,1.44,2.04,2400.0,355.0,310.0,6.5,931.0,180.0,119.0,4.05,34.8,45900,10
W14X176,176.0,51.8,15.2,15.7,0.83,1.31,1.91,2140.0,320.0,281.0,6.43,838.0,163.0,107.0,4.02,26.5,40500,10
W14X159,159.0,46.7,15,15.6,0.745,1.19,1.79,1900.0,287.0,254.0,6.38,748.0,146.0,96.2,4.0,19.7,35600,10
